# Nikon maker-note lens identities.
# Key: LibRaw makernotes.LensID, the eight composite bytes as hex.
# One row per candidate name; a repeated key is ambiguous.
# Generated from ExifTool's published tag documentation; see nikon.provenance.json.
2F48304424242902	AF Zoom-Nikkor 20-35mm f/2.8D IF
2F48304424242902	Tokina AT-X 235 AF PRO (AF 20-35mm f/2.8)
3048989824242402	AF-I Nikkor 400mm f/2.8D IF-ED
304898982424E102	AF-I Nikkor 400mm f/2.8D IF-ED + TC-17E
304898982424F102	AF-I Nikkor 400mm f/2.8D IF-ED + TC-14E
304898982424F202	AF-I Nikkor 400mm f/2.8D IF-ED + TC-20E
3154565624242502	AF Micro-Nikkor 60mm f/2.8D
3253646424243502	Tamron SP AF 90mm f/2.8 [Di] Macro 1:1 (172E/272E)
3254505024243502	Sigma Macro 50mm F2.8 EX DG
32546A6A24243502	AF Micro-Nikkor 105mm f/2.8D
32546A6A24243502	Sigma Macro 105mm F2.8 EX DG
33482D2D24243102	AF Nikkor 18mm f/2.8D
33543C5E24246202	Tamron SP AF 28-75mm f/2.8 XR Di LD Aspherical (IF) Macro (A09)
3448292924243202	AF Fisheye Nikkor 16mm f/2.8D
353CA0A030303302	AF-I Nikkor 500mm f/4D IF-ED
353CA0A03030E102	AF-I Nikkor 500mm f/4D IF-ED + TC-17E
353CA0A03030F102	AF-I Nikkor 500mm f/4D IF-ED + TC-14E
353CA0A03030F202	AF-I Nikkor 500mm f/4D IF-ED + TC-20E
3648373724243402	AF Nikkor 24mm f/2.8D
3748303024243602	AF Nikkor 20mm f/2.8D
384C626214143702	AF Nikkor 85mm f/1.8D
3A403C5C2C343902	AF Zoom-Nikkor 28-70mm f/3.5-4.5D
3B48445C24243A02	AF Zoom-Nikkor 35-70mm f/2.8D N
3C48608024243B02	AF Zoom-Nikkor 80-200mm f/2.8D ED
3D3C4460303C3E02	AF Zoom-Nikkor 35-80mm f/4-5.6D
3E483C3C24243D02	AF Nikkor 28mm f/2.8D
3F40446A2C344502	AF Zoom-Nikkor 35-105mm f/3.5-4.5D
41487C7C24244302	AF Nikkor 180mm f/2.8D IF-ED
4254444418184402	AF Nikkor 35mm f/2D
435450500C0C4602	AF Nikkor 50mm f/1.4D
44446080343C4702	AF Zoom-Nikkor 80-200mm f/4.5-5.6D
453D3C602C3C4802	Tamron AF 28-80mm f/3.5-5.6 Aspherical (177D)
45403C602C3C4802	AF Zoom-Nikkor 28-80mm f/3.5-5.6D
454137722C3C4802	Tamron SP AF 24-135mm f/3.5-5.6 AD Aspherical (IF) Macro (190D)
463C4460303C4902	AF Zoom-Nikkor 35-80mm f/4-5.6D N
474237502A344A02	AF Zoom-Nikkor 24-50mm f/3.3-4.5D
48381F37343C4B06	Sigma 12-24mm F4.5-5.6 EX DG Aspherical HSM
483C1931303C4B06	Sigma 10-20mm F4-5.6 EX DC HSM
483C50A030404B02	Sigma 50-500mm F4-6.3 EX APO RF HSM
483C8EB03C3C4B02	Sigma APO 300-800mm F5.6 EX DG HSM
483CB0B03C3C4B02	Sigma APO 800mm F5.6 EX HSM
4844A0A034344B02	Sigma APO 500mm F4.5 EX HSM
4848242424244B02	Sigma 14mm F2.8 EX Aspherical HSM
48482B4424304B06	Sigma 17-35mm F2.8-4 EX DG  Aspherical HSM
4848688E30304B02	Sigma APO 100-300mm F4 EX IF HSM
4848767624244B06	Sigma APO Macro 150mm F2.8 EX DG HSM
48488E8E24244B02	AF-S Nikkor 300mm f/2.8D IF-ED
48488E8E2424E102	AF-S Nikkor 300mm f/2.8D IF-ED + TC-17E
48488E8E2424F102	AF-S Nikkor 300mm f/2.8D IF-ED + TC-14E
48488E8E2424F202	AF-S Nikkor 300mm f/2.8D IF-ED + TC-20E
484C7C7C2C2C4B02	Sigma APO Macro 180mm F3.5 EX DG HSM
484C7D7D2C2C4B02	Sigma APO Macro 180mm F3.5 EX DG HSM
48543E3E0C0C4B06	Sigma 30mm F1.4 EX DC HSM
48545C8024244B02	Sigma 70-200mm F2.8 EX APO IF HSM
48546F8E24244B02	Sigma APO 120-300mm F2.8 EX DG HSM
48548E8E24244B02	Sigma APO 300mm F2.8 EX DG HSM
493CA6A630304C02	AF-S Nikkor 600mm f/4D IF-ED
493CA6A63030E102	AF-S Nikkor 600mm f/4D IF-ED + TC-17E
493CA6A63030F102	AF-S Nikkor 600mm f/4D IF-ED + TC-14E
493CA6A63030F202	AF-S Nikkor 600mm f/4D IF-ED + TC-20E
4A4011112C0C4D02	Samyang 8mm f/3.5 Fish-Eye CS
4A481E1E240C4D02	Samyang 12mm f/2.8 ED AS NCS Fish-Eye
4A482424240C4D02	Samyang 10mm f/2.8 ED AS NCS CS
4A482424240C4D02	Samyang AE 14mm f/2.8 ED AS IF UMC
4A4C24241E6C4D06	Samyang 14mm f/2.4 Premium
4A542929180C4D02	Samyang 16mm f/2.0 ED AS UMC CS
4A5462620C0C4D02	AF Nikkor 85mm f/1.4D IF
4A583030140C4D02	Rokinon 20mm f/1.8 ED AS UMC
4A6036360C0C4D02	Samyang 24mm f/1.4 ED AS UMC
4A6044440C0C4D02	Samyang 35mm f/1.4 AS UMC
4A6062620C0C4D02	Samyang AE 85mm f/1.4 AS IF UMC
4B3CA0A030304E02	AF-S Nikkor 500mm f/4D IF-ED
4B3CA0A03030E102	AF-S Nikkor 500mm f/4D IF-ED + TC-17E
4B3CA0A03030F102	AF-S Nikkor 500mm f/4D IF-ED + TC-14E
4B3CA0A03030F202	AF-S Nikkor 500mm f/4D IF-ED + TC-20E
4C40376E2C3C4F02	AF Zoom-Nikkor 24-120mm f/3.5-5.6D IF
4D3E3C802E3C6202	Tamron AF 28-200mm f/3.8-5.6 XR Aspherical (IF) Macro (A03N)
4D403C802C3C6202	AF Zoom-Nikkor 28-200mm f/3.5-5.6D IF
4D413C8E2B406202	Tamron AF 28-300mm f/3.5-6.3 XR Di LD Aspherical (IF) (A061)
4D413C8E2C406202	Tamron AF 28-300mm f/3.5-6.3 XR LD Aspherical (IF) (185D)
4E48727218185102	AF DC-Nikkor 135mm f/2D
4F40375C2C3C5306	IX-Nikkor 24-70mm f/3.5-5.6
5048567C303C5406	IX-Nikkor 60-180mm f/4-5.6
5254444418180000	Zeiss Milvus 35mm f/2
5348608024245702	AF Zoom-Nikkor 80-200mm f/2.8D ED
5348608024246002	AF Zoom-Nikkor 80-200mm f/2.8D ED
535450500C0C0000	Zeiss Milvus 50mm f/1.4
54445C7C343C5802	AF Zoom-Micro Nikkor 70-180mm f/4.5-5.6D ED
54445C7C343C6102	AF Zoom-Micro Nikkor 70-180mm f/4.5-5.6D ED
5454505018180000	Zeiss Milvus 50mm f/2 Macro
555462620C0C0000	Zeiss Milvus 85mm f/1.4
563C5C8E303C1C02	Sigma 70-300mm F4-5.6 APO Macro Super II
56485C8E303C5A02	AF Zoom-Nikkor 70-300mm f/4-5.6D ED
5654686818180000	Zeiss Milvus 100mm f/2 Macro
5948989824245D02	AF-S Nikkor 400mm f/2.8D IF-ED
594898982424E102	AF-S Nikkor 400mm f/2.8D IF-ED + TC-17E
594898982424F102	AF-S Nikkor 400mm f/2.8D IF-ED + TC-14E
594898982424F202	AF-S Nikkor 400mm f/2.8D IF-ED + TC-20E
5A3C3E56303C5E06	IX-Nikkor 30-60mm f/4-5.6
5B44567C343C5F06	IX-Nikkor 60-180mm f/4.5-5.6
5D483C5C24246302	AF-S Zoom-Nikkor 28-70mm f/2.8D IF-ED
5E48608024246402	AF-S Zoom-Nikkor 80-200mm f/2.8D IF-ED
5F403C6A2C346502	AF Zoom-Nikkor 28-105mm f/3.5-4.5D IF
60403C602C3C6602	AF Zoom-Nikkor 28-80mm f/3.5-5.6D
61445E86343C6702	AF Zoom-Nikkor 75-240mm f/4.5-5.6D
63482B4424246802	AF-S Nikkor 17-35mm f/2.8D IF-ED
6400626224246A02	PC Micro-Nikkor 85mm f/2.8D
65446098343C6B0A	AF VR Zoom-Nikkor 80-400mm f/4.5-5.6D ED
66402D442C346C02	AF Zoom-Nikkor 18-35mm f/3.5-4.5D IF-ED
6748376224306D02	AF Zoom-Nikkor 24-85mm f/2.8-4D IF
6754375C24241C02	Sigma 24-70mm F2.8 EX DG Macro
68423C602A3C6E06	AF Zoom-Nikkor 28-80mm f/3.3-5.6G
69475C8E303C0002	Tamron AF 70-300mm f/4-5.6 Di LD Macro 1:2 (A17N)
69485C8E303C6F02	Tamron AF 70-300mm f/4-5.6 LD Macro 1:2 (572D/772D)
69485C8E303C6F06	AF Zoom-Nikkor 70-300mm f/4-5.6G
6A488E8E30307002	AF-S Nikkor 300mm f/4D IF-ED
6B48242424247102	AF Nikkor ED 14mm f/2.8D
6D488E8E24247302	AF-S Nikkor 300mm f/2.8D IF-ED II
6E48989824247402	AF-S Nikkor 400mm f/2.8D IF-ED II
6F3CA0A030307502	AF-S Nikkor 500mm f/4D IF-ED II
703CA6A630307602	AF-S Nikkor 600mm f/4D IF-ED II
7148646424240000	Voigtlander APO-Skopar 90mm F2.8 SL IIs
72484C4C24247700	Nikkor 45mm f/2.8 P
744037622C347806	AF-S Zoom-Nikkor 24-85mm f/3.5-4.5G IF-ED
75403C682C3C7906	AF Zoom-Nikkor 28-100mm f/3.5-5.6G
7658505014147A02	AF Nikkor 50mm f/1.8D
77446098343C7B0E	Sigma 80-400mm F4.5-5.6 APO DG D OS
77446198343C7B0E	Sigma 80-400mm F4.5-5.6 EX OS
77485C8024247B0E	AF-S VR Zoom-Nikkor 70-200mm f/2.8G IF-ED
